tag_id,taggable_id,taggable_type
1,1,MediaElement
2,1,MediaElement
3,1,MediaElement
4,1,MediaElement
5,1,MediaElement
6,2,MediaElement
7,2,MediaElement
8,2,MediaElement
9,2,MediaElement
10,2,MediaElement
11,2,MediaElement
12,2,MediaElement
1,3,MediaElement
13,3,MediaElement
14,3,MediaElement
15,3,MediaElement
16,3,MediaElement
17,3,MediaElement
12,3,MediaElement
18,4,MediaElement
19,4,MediaElement
20,4,MediaElement
17,4,MediaElement
12,4,MediaElement
5,5,MediaElement
1,5,MediaElement
4,5,MediaElement
21,5,MediaElement
12,5,MediaElement
22,5,MediaElement
5,6,MediaElement
23,6,MediaElement
24,6,MediaElement
16,6,MediaElement
12,6,MediaElement
4,6,MediaElement
8,7,MediaElement
25,7,MediaElement
26,7,MediaElement
17,7,MediaElement
27,7,MediaElement
28,7,MediaElement
29,7,MediaElement
30,7,MediaElement
5,8,MediaElement
31,8,MediaElement
32,8,MediaElement
33,8,MediaElement
34,8,MediaElement
35,8,MediaElement
36,8,MediaElement
5,9,MediaElement
4,9,MediaElement
37,9,MediaElement
38,9,MediaElement
39,9,MediaElement
40,9,MediaElement
23,10,MediaElement
5,10,MediaElement
41,10,MediaElement
42,10,MediaElement
43,11,MediaElement
44,11,MediaElement
16,11,MediaElement
45,11,MediaElement
46,11,MediaElement
47,11,MediaElement
48,11,MediaElement
8,11,MediaElement
49,12,MediaElement
4,12,MediaElement
16,12,MediaElement
50,12,MediaElement
51,13,MediaElement
4,13,MediaElement
52,13,MediaElement
8,13,MediaElement
5,13,MediaElement
12,13,MediaElement
43,14,MediaElement
53,14,MediaElement
54,14,MediaElement
12,14,MediaElement
16,14,MediaElement
55,14,MediaElement
44,14,MediaElement
8,14,MediaElement
4,15,MediaElement
56,15,MediaElement
38,15,MediaElement
37,15,MediaElement
1,15,MediaElement
57,15,MediaElement
4,16,MediaElement
14,16,MediaElement
16,16,MediaElement
1,16,MediaElement
39,16,MediaElement
5,16,MediaElement
4,17,MediaElement
58,17,MediaElement
59,17,MediaElement
60,17,MediaElement
39,17,MediaElement
5,17,MediaElement
61,18,MediaElement
62,18,MediaElement
44,18,MediaElement
5,18,MediaElement
63,18,MediaElement
64,18,MediaElement
65,18,MediaElement
12,19,MediaElement
17,19,MediaElement
66,19,MediaElement
18,19,MediaElement
67,19,MediaElement
68,19,MediaElement
12,20,MediaElement
11,20,MediaElement
69,20,MediaElement
55,20,MediaElement
27,20,MediaElement
1,21,MediaElement
70,21,MediaElement
37,21,MediaElement
5,21,MediaElement
71,21,MediaElement
8,22,MediaElement
72,22,MediaElement
25,22,MediaElement
17,22,MediaElement
73,22,MediaElement
74,23,MediaElement
12,23,MediaElement
17,23,MediaElement
73,23,MediaElement
75,24,MediaElement
76,24,MediaElement
18,24,MediaElement
77,24,MediaElement
14,24,MediaElement
12,24,MediaElement
78,25,MediaElement
76,25,MediaElement
18,25,MediaElement
79,25,MediaElement
72,25,MediaElement
12,25,MediaElement
80,26,MediaElement
76,26,MediaElement
18,26,MediaElement
14,26,MediaElement
72,26,MediaElement
12,26,MediaElement
8,27,MediaElement
17,27,MediaElement
18,27,MediaElement
72,27,MediaElement
12,27,MediaElement
66,28,MediaElement
17,28,MediaElement
18,28,MediaElement
72,28,MediaElement
12,28,MediaElement
44,29,MediaElement
81,29,MediaElement
18,29,MediaElement
8,29,MediaElement
12,29,MediaElement
18,30,MediaElement
17,30,MediaElement
8,30,MediaElement
12,30,MediaElement
82,31,MediaElement
5,31,MediaElement
83,31,MediaElement
84,31,MediaElement
85,31,MediaElement
86,31,MediaElement
87,32,MediaElement
5,32,MediaElement
83,32,MediaElement
88,32,MediaElement
16,32,MediaElement
44,32,MediaElement
89,33,MediaElement
5,33,MediaElement
23,33,MediaElement
90,33,MediaElement
89,34,MediaElement
5,34,MediaElement
23,34,MediaElement
90,34,MediaElement
91,34,MediaElement
89,35,MediaElement
5,35,MediaElement
23,35,MediaElement
90,35,MediaElement
92,35,MediaElement
89,36,MediaElement
5,36,MediaElement
23,36,MediaElement
90,36,MediaElement
44,36,MediaElement
34,37,MediaElement
93,37,MediaElement
94,37,MediaElement
95,37,MediaElement
96,37,MediaElement
34,38,MediaElement
93,38,MediaElement
94,38,MediaElement
95,38,MediaElement
96,38,MediaElement
55,39,MediaElement
5,39,MediaElement
83,39,MediaElement
4,39,MediaElement
56,40,MediaElement
5,40,MediaElement
38,40,MediaElement
4,40,MediaElement
37,40,MediaElement
97,41,MediaElement
5,41,MediaElement
98,41,MediaElement
99,41,MediaElement
100,41,MediaElement
101,42,MediaElement
5,42,MediaElement
83,42,MediaElement
102,42,MediaElement
100,42,MediaElement
103,42,MediaElement
104,42,MediaElement
105,43,MediaElement
5,43,MediaElement
83,43,MediaElement
102,43,MediaElement
106,43,MediaElement
103,43,MediaElement
104,43,MediaElement
105,44,MediaElement
5,44,MediaElement
83,44,MediaElement
102,44,MediaElement
106,44,MediaElement
103,44,MediaElement
104,44,MediaElement
107,45,MediaElement
5,45,MediaElement
83,45,MediaElement
102,45,MediaElement
106,45,MediaElement
103,45,MediaElement
104,45,MediaElement
107,46,MediaElement
5,46,MediaElement
83,46,MediaElement
102,46,MediaElement
106,46,MediaElement
103,46,MediaElement
104,46,MediaElement
108,47,MediaElement
5,47,MediaElement
83,47,MediaElement
23,47,MediaElement
16,47,MediaElement
103,47,MediaElement
108,48,MediaElement
5,48,MediaElement
83,48,MediaElement
23,48,MediaElement
16,48,MediaElement
103,48,MediaElement
87,48,MediaElement
107,49,MediaElement
5,49,MediaElement
83,49,MediaElement
103,49,MediaElement
109,49,MediaElement
110,50,MediaElement
107,50,MediaElement
5,50,MediaElement
83,50,MediaElement
103,50,MediaElement
109,50,MediaElement
111,51,MediaElement
5,51,MediaElement
112,51,MediaElement
113,51,MediaElement
111,52,MediaElement
114,52,MediaElement
115,52,MediaElement
5,52,MediaElement
116,52,MediaElement
117,52,MediaElement
118,52,MediaElement
119,53,MediaElement
63,53,MediaElement
114,53,MediaElement
115,53,MediaElement
5,53,MediaElement
116,53,MediaElement
117,53,MediaElement
118,53,MediaElement
120,53,MediaElement
109,54,MediaElement
107,54,MediaElement
103,54,MediaElement
5,54,MediaElement
121,54,MediaElement
109,55,MediaElement
107,55,MediaElement
103,55,MediaElement
5,55,MediaElement
121,55,MediaElement
1,56,MediaElement
122,56,MediaElement
5,56,MediaElement
4,56,MediaElement
123,56,MediaElement
124,57,MediaElement
15,57,MediaElement
125,57,MediaElement
126,57,MediaElement
127,57,MediaElement
23,58,MediaElement
5,58,MediaElement
24,58,MediaElement
16,58,MediaElement
90,58,MediaElement
23,59,MediaElement
5,59,MediaElement
121,59,MediaElement
109,59,MediaElement
103,59,MediaElement
23,60,MediaElement
5,60,MediaElement
87,60,MediaElement
16,60,MediaElement
59,60,MediaElement
128,60,MediaElement
90,60,MediaElement
44,60,MediaElement
64,61,MediaElement
5,61,MediaElement
61,61,MediaElement
103,61,MediaElement
121,61,MediaElement
129,62,MediaElement
103,62,MediaElement
121,62,MediaElement
130,62,MediaElement
131,65,MediaElement
132,65,MediaElement
133,65,MediaElement
44,65,MediaElement
8,66,MediaElement
134,66,MediaElement
44,66,MediaElement
137,66,MediaElement
8,67,MediaElement
134,67,MediaElement
137,67,MediaElement
44,67,MediaElement
37,67,MediaElement
138,68,MediaElement
134,68,MediaElement
8,68,MediaElement
44,68,MediaElement
8,69,MediaElement
138,69,MediaElement
134,69,MediaElement
139,69,MediaElement
44,69,MediaElement
8,70,MediaElement
140,70,MediaElement
134,70,MediaElement
17,70,MediaElement
44,70,MediaElement
141,71,MediaElement
134,71,MediaElement
8,71,MediaElement
138,71,MediaElement
17,71,MediaElement
44,71,MediaElement
138,72,MediaElement
134,72,MediaElement
17,72,MediaElement
44,72,MediaElement
8,72,MediaElement
134,1,Lesson
138,1,Lesson
8,1,Lesson
44,1,Lesson
17,1,Lesson
12,73,MediaElement
76,73,MediaElement
72,73,MediaElement
142,73,MediaElement
143,73,MediaElement
76,74,MediaElement
12,74,MediaElement
143,74,MediaElement
144,74,MediaElement
142,74,MediaElement
76,75,MediaElement
12,75,MediaElement
142,75,MediaElement
18,75,MediaElement
76,76,MediaElement
145,76,MediaElement
142,76,MediaElement
146,76,MediaElement
147,2,Lesson
12,2,Lesson
18,2,Lesson
142,2,Lesson
148,3,Lesson
149,3,Lesson
150,3,Lesson
151,3,Lesson
17,4,Lesson
12,4,Lesson
18,4,Lesson
152,4,Lesson
153,77,MediaElement
154,77,MediaElement
155,77,MediaElement
8,77,MediaElement
153,78,MediaElement
8,78,MediaElement
156,78,MediaElement
157,78,MediaElement
146,5,Lesson
8,5,Lesson
135,5,Lesson
158,5,Lesson
17,5,Lesson
153,79,MediaElement
8,79,MediaElement
159,79,MediaElement
160,79,MediaElement
153,80,MediaElement
8,80,MediaElement
159,80,MediaElement
160,80,MediaElement
153,81,MediaElement
8,81,MediaElement
159,81,MediaElement
160,81,MediaElement
161,82,MediaElement
162,82,MediaElement
151,82,MediaElement
163,82,MediaElement
153,83,MediaElement
8,83,MediaElement
159,83,MediaElement
160,83,MediaElement
153,84,MediaElement
8,84,MediaElement
159,84,MediaElement
160,84,MediaElement
8,85,MediaElement
146,85,MediaElement
17,85,MediaElement
37,85,MediaElement
153,86,MediaElement
8,86,MediaElement
159,86,MediaElement
160,86,MediaElement
146,87,MediaElement
8,87,MediaElement
164,87,MediaElement
17,87,MediaElement
153,88,MediaElement
8,88,MediaElement
159,88,MediaElement
160,88,MediaElement
165,89,MediaElement
166,89,MediaElement
146,89,MediaElement
8,89,MediaElement
153,6,Lesson
8,6,Lesson
159,6,Lesson
160,6,Lesson
166,85,MediaElement
166,91,MediaElement
8,91,MediaElement
146,91,MediaElement
17,91,MediaElement
37,91,MediaElement
8,92,MediaElement
166,92,MediaElement
146,92,MediaElement
17,92,MediaElement
146,93,MediaElement
8,93,MediaElement
171,93,MediaElement
37,93,MediaElement
139,93,MediaElement
173,95,MediaElement
